mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1018946647644043,0.010711426374697542,0.0027584552764892576,0.0002528947754958364,0.03,2,2,50,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8042453994318233,0.7664609826566218,0.7009411163724715,0.816842200538096,0.7309968083554781,0.7638973014708981,0.04355141213992348,79,0.7881717988758703,0.7852593664002429,0.7871365420549808,0.7807870540801443,0.7903723683286858,0.7863454259479847,0.003232732307704751
0.20928235054016114,0.014527940637827688,0.0030286312103271484,7.28300664250336e-05,0.03,2,2,100,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8909946899655465,0.8723112970360676,0.8401622006065285,0.9028899649478702,0.8345175720922011,0.8681751449296428,0.027057403340855306,67,0.8977220907645608,0.8966338404715396,0.8973826891926897,0.8957028412682049,0.9005934915254205,0.8976069906444831,0.001646545037163504
0.29563198089599607,0.00768336397212025,0.00393528938293457,0.0025233971575775566,0.03,2,2,150,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.9181549713472315,0.9056721153316277,0.8838646187757067,0.9298644286857953,0.8679650538341621,0.9011042375949045,0.022512892206264578,62,0.9339973832413317,0.932379150092532,0.9350621837415184,0.9338683621732506,0.9371498597976737,0.9344913878092613,0.0015803183816997285
0.10367035865783691,0.00530287743936228,0.0024890899658203125,0.00033961649968364304,0.03,2,5,50,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8042453994318233,0.7664609826566218,0.7009411163724715,0.816842200538096,0.7309968083554781,0.7638973014708981,0.04355141213992348,79,0.7881717988758703,0.7852593664002429,0.7871365420549808,0.7807870540801443,0.7903723683286858,0.7863454259479847,0.003232732307704751
0.19454197883605956,0.010189256173183376,0.0026433467864990234,0.00042363054193308503,0.03,2,5,100,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8909946899655465,0.8723112970360676,0.8401622006065285,0.9028899649478702,0.8345175720922011,0.8681751449296428,0.027057403340855306,67,0.8977220907645608,0.8966338404715396,0.8973826891926897,0.8957028412682049,0.9005934915254205,0.8976069906444831,0.001646545037163504
0.3114486217498779,0.028140952521515453,0.004195213317871094,0.002769279325621718,0.03,2,5,150,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.918118292182525,0.9056721153316277,0.8838646187757067,0.9298644286857953,0.8679650538341621,0.9010969017619633,0.022507340315550423,63,0.9340417140861631,0.932379150092532,0.9350621837415184,0.9338683621732506,0.9371498597976737,0.9345002539782274,0.0015776440559923067
0.09652595520019532,0.005981927272282061,0.0023618221282958986,0.00029041236198181517,0.03,2,10,50,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8042453994318233,0.7664609826566218,0.7009411163724715,0.816842200538096,0.7309968083554781,0.7638973014708981,0.04355141213992348,79,0.7881717988758703,0.7852593664002429,0.7871365420549808,0.7807870540801443,0.7903723683286858,0.7863454259479847,0.003232732307704751
0.1924619197845459,0.011634518405668988,0.004285430908203125,0.0030716651826824585,0.03,2,10,100,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8909946899655465,0.8723112970360676,0.8401622006065285,0.9028899649478702,0.8345175720922011,0.8681751449296428,0.027057403340855306,67,0.8977220907645608,0.8966338404715396,0.8973826891926897,0.8957028412682049,0.9005934915254205,0.8976069906444831,0.001646545037163504
0.2966315746307373,0.01122122812646344,0.0031136989593505858,0.001776555479953666,0.03,2,10,150,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 150}",0.9182530905669608,0.9056721153316277,0.8838646187757067,0.9298644286857953,0.8680565841500676,0.9011421675020316,0.022500852955883343,61,0.9339997222428167,0.932379150092532,0.9350621837415184,0.9338683621732506,0.9371043204076903,0.9344827477315617,0.001564883104249544
0.12819485664367675,0.00940384619211044,0.0026177883148193358,2.924236675705174e-05,0.03,3,2,50,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.8496200474280149,0.8393511338552803,0.7803609065637988,0.8493934270197144,0.7817247412694537,0.8200900512272524,0.03209984347719662,78,0.8583444165886316,0.8578058295308642,0.8586365227333667,0.8558169953092774,0.8600186143705669,0.8581244757065413,0.0013656008638605343
0.25039424896240237,0.0160358784864046,0.002487039566040039,0.0003972834994502608,0.03,3,2,100,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.9227567430453018,0.9092540244973153,0.8872694689969961,0.9254572326058357,0.8688625844294405,0.902720010714978,0.021661901079815755,59,0.9474416542268272,0.9456827336663629,0.9473296030923224,0.9456185353941537,0.9478474482122817,0.9467839949183896,0.0009415104037210037
0.3787588596343994,0.020005378949193214,0.002779436111450195,0.0003198126735541719,0.03,3,2,150,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 150}",0.9396470210066132,0.9297548581159856,0.9095669914224471,0.9401517765244408,0.8882039537749794,0.9214649201688931,0.01998180700740102,41,0.9669214035378808,0.9656793371279586,0.9688992744976377,0.9668444150684484,0.9680679154867822,0.9672824691437416,0.0011066415422193267
0.12380280494689941,0.007935032659996167,0.0024057865142822266,0.0002859233296461343,0.03,3,5,50,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.8522061250113291,0.8412672828764168,0.7761427253993203,0.8501876771042419,0.7813035158001901,0.8202214652382998,0.03412172577320072,77,0.8574314531346372,0.8576147496522839,0.8583436994659849,0.8558065702036064,0.8596583458565378,0.85777096366261,0.001256085166206954
